id,emoji,description,ocurrences
1,♟️,chess pawn,1
3,📲,mobile phone with arrow,1
3,🎮,video game,1
3,💰,money bag,1
3,🤑,money-mouth face,1
4,💙,blue heart,1
4,👊🏽,oncoming fist: medium skin tone,1
5,👇🏻,backhand index pointing down: light skin tone,1
5,📊,bar chart,1
5,🗣,speaking head,1
5,🏷,label,1
5,🏎,racing car,1
6,😂,face with tears of joy,1
6,👑,crown,1
7,🇪🇸,flag: Spain,2
7,🏎️,racing car,1
8,📲,mobile phone with arrow,1
8,🎮,video game,1
8,💰,money bag,1
8,🤑,money-mouth face,1
11,🤔,thinking face,1
11,🤩,star-struck,1
12,🧹,broom,1
12,🌈,rainbow,1
14,👏,clapping hands,1
14,✨,sparkles,1
14,☄️,comet,1
15,🏎️,racing car,1
15,🇪🇦,flag: Ceuta & Melilla,1
17,🇪🇸,flag: Spain,1
18,🤩,star-struck,1
18,👏🏼,clapping hands: medium-light skin tone,1
18,🇪🇸,flag: Spain,1
20,🇲🇨,flag: Monaco,1
20,➖,minus,1
21,🏆,trophy,1
23,📷,camera,1
23,😍,smiling face with heart-eyes,1
37,🤔,thinking face,1
37,📈,chart increasing,1
37,🔧,wrench,1
37,📊,bar chart,2
37,👇,backhand index pointing down,1
37,🏎️,racing car,3
37,👉,backhand index pointing right,1
37,👀,eyes,1
37,👈,backhand index pointing left,1
38,✈,airplane,1
38,🔥,fire,2
38,🏎️,racing car,7
38,👉,backhand index pointing right,1
38,🇪🇸,flag: Spain,2
38,👈,backhand index pointing left,1
39,🤩,star-struck,3
40,🚨,police car light,2
42,🤔,thinking face,1
42,📈,chart increasing,1
42,📊,bar chart,3
42,👇,backhand index pointing down,1
42,🏎️,racing car,3
42,👉,backhand index pointing right,1
42,👈,backhand index pointing left,1
43,🏷,label,1
44,😂,face with tears of joy,1
44,💐,bouquet,1
44,❤️,red heart,1
45,📸,camera with flash,1
46,💥,collision,1
47,🔍,magnifying glass tilted left,1
47,🔴,red circle,1
47,👀,eyes,1
48,🤩,star-struck,1
48,🔥,fire,1
48,🇪🇸,flag: Spain,1
48,👌,OK hand,1
50,📌,pushpin,1
51,🤔,thinking face,1
51,🔥,fire,1
51,🇪🇸,flag: Spain,1
52,✈,airplane,1
52,🏎️,racing car,7
52,👉,backhand index pointing right,4
52,🇪🇸,flag: Spain,4
52,👈,backhand index pointing left,1
53,🏎️,racing car,2
54,🇲🇨,flag: Monaco,1
55,🤔,thinking face,1
55,📈,chart increasing,1
55,📊,bar chart,3
55,👇,backhand index pointing down,1
55,🏎️,racing car,3
55,👉,backhand index pointing right,1
