id,date,image_url,content,content_translation,image_description,extended_text,reply_count,like_count,topic,negative_score,neutral_score,positive_score,x,y
0,2023-06-01,https://scontent.cdninstagram.com/v/t51.29350-15/350429970_622628282922323_8520256253977761856_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ZUUwq_OaEF0AX_-3NlH&_nc_ht=scontent.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfBGxo6WRrHdCYmAPtXItLPTO69A6DfvUMfktSz8MABGaw&oe=647CFA2B,"Follow the Sun! Drink PirateTea!

PirateTea vitalizes mind and body naturally!

#explorebeyondlimits 
#piratetea #naturaldrink #energyfromnature #naturalenergyboost #energybooster #instaenergy #vitalizeyourbody #explorebeyondthelimits #pirateteaamsterdam #dubailife #goldenhour #goldenhourphotography #shareadrink #bestenergydrink #pirateflask#flask#chess#risk#hoodie#besthoodie#piratehoodie#tea#teabag#PiratTeaBag
Photo credits: winklerez matt.winklerez","Follow the Sun! Drink PirateTea!

PirateTea vitalizes mind and body naturally!

#explorebeyondlimits 
#piratetea #naturaldrink #energyfromnature #naturalenergyboost #energybooster #instaenergy #vitalizeyourbody #explorebeyondthelimits #pirateteaamsterdam #dubailife #goldenhour #goldenhourphotography #shareadrink #bestenergydrink #pirateflask#flask#chess#risk#hoodie#besthoodie#piratehoodie#tea#teabag#PiratTeaBag
Photo credits: winklerez matt.winklerez",there is a man standing on a rock with a water bottle,"Follow the Sun! Drink PirateTea!

PirateTea vitalizes mind and body naturally!

#explorebeyondlimits 
#piratetea #naturaldrink #energyfromnature #naturalenergyboost #energybooster #instaenergy #vitalizeyourbody #explorebeyondthelimits #pirateteaamsterdam #dubailife #goldenhour #goldenhourphotography #shareadrink #bestenergydrink #pirateflask#flask#chess#risk#hoodie#besthoodie#piratehoodie#tea#teabag#PiratTeaBag
Photo credits: winklerez matt.winklerez. Image description: there is a man standing on a rock with a water bottle",0,8,-1,0.004251265432685614,0.16880163550376892,0.826947033405304,13.864739,5.9232283
1,2023-06-01,https://scontent.cdninstagram.com/v/t51.29350-15/350466331_1248788135783548_7647744953917782505_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ijTp0ZNBgv0AX8GSUdt&_nc_ht=scontent.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfC6JRz2Xm3sBJUAPCU86lx7dZ-V4B3iicxVphDpLZvXow&oe=647E37F0,"We shall play!!! Moulded chessboard handbag. ♟️
 
#apparel #upcyclereuse #reworkedstyle #upcycledclothingline #kuroublack #fashionbdesigner #upcycled #reworked #reworkedfashion #reworkedvintage #upcycledvintage #darkwear #edgy #edgyfashion #glamourgoth #darkfashion #loveblack #blackwear #shopping #outfit #fashionista #streetstyle #designer #onlineshopping #smallbusiness #accessories #kuroublack #clothes #chess #custom","We shall play!!! Moulded chessboard handbag. ♟️
 
#apparel #upcyclereuse #reworkedstyle #upcycledclothingline #kuroublack #fashionbdesigner #upcycled #reworked #reworkedfashion #reworkedvintage #upcycledvintage #darkwear #edgy #edgyfashion #glamourgoth #darkfashion #loveblack #blackwear #shopping #outfit #fashionista #streetstyle #designer #onlineshopping #smallbusiness #accessories #kuroublack #clothes #chess #custom",there is a black purse with a name on it sitting on a table,"We shall play!!! Moulded chessboard handbag. ♟️
 
#apparel #upcyclereuse #reworkedstyle #upcycledclothingline #kuroublack #fashionbdesigner #upcycled #reworked #reworkedfashion #reworkedvintage #upcycledvintage #darkwear #edgy #edgyfashion #glamourgoth #darkfashion #loveblack #blackwear #shopping #outfit #fashionista #streetstyle #designer #onlineshopping #smallbusiness #accessories #kuroublack #clothes #chess #custom. Image description: there is a black purse with a name on it sitting on a table",6,0,19,0.0060829883441329,0.48326361179351807,0.5106533765792847,15.199524,3.9199371
2,2023-06-02,https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/350642198_192416883364214_5481625255423039683_n.heic?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=9VRH1ifa3f0AX-u7e9t&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfD7wgak1fL5eLCD8bykYSAdOgcV-MzfpiOxkzWcvOrdEg&oe=647FFC37,Which is better Ahmad vs karim or Messi vs Cristiano #cristianoronaldo #messi #chess,Which is better Ahmad vs karim or Messi vs Cristiano #cristianoronaldo #messi #chess,two men playing chess and one is sitting at a table,Which is better Ahmad vs karim or Messi vs Cristiano #cristianoronaldo #messi #chess. Image description: two men playing chess and one is sitting at a table,2,3,37,0.028951818123459816,0.8106187582015991,0.16042938828468323,13.075531,4.8868093
3,2023-06-01,https://scontent.cdninstagram.com/v/t51.29350-15/350345449_212421178300205_1859421149468831522_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=7kD2J5sHMlEAX-louyQ&_nc_ht=scontent.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfCZ_BSVagBfNFb0GjKB1LVqlMghbKfVZod-ygir3DC_cA&oe=647D3EC5,"Easy To Win, Easy To Play!
.
.
The Game For All Ages
.
.
📲Play & Win On The FSLGamer...🎮
.
.
sign up and get rs. 10 bonus 🤑💰
.
.
..
download the fsl gamer app now
www.fslgamer.com
.
.
This game can be habit-forming, addictive or financially risky.
You are requested to play responsibly.
.
.
.
#gaming #gamer #ps #playstation #videogames #game #xbox #games #twitch #fortnite #ludoking #memes #pcgaming #gamers #oscars #gamingcommunity #youtube #rummy #poker #chess #videogame #esports #bhfyp #ludo #cricket #cricketgame #ludocricket #cricketludo #fslgamer","Easy To Win, Easy To Play!
.
.
The Game For All Ages
.
.
📲Play & Win On The FSLGamer...🎮
.
.
sign up and get rs. 10 bonus 🤑💰
.
.
..
download the fsl gamer app now
www.fslgamer.com
.
.
This game can be habit-forming, addictive or financially risky.
You are requested to play responsibly.
.
.
.
#gaming #gamer #ps #playstation #videogames #game #xbox #games #twitch #fortnite #ludoking #memes #pcgaming #gamers #oscars #gamingcommunity #youtube #rummy #poker #chess #videogame #esports #bhfyp #ludo #cricket #cricketgame #ludocricket #cricketludo #fslgamer",a black and gold casino game with a gold button and a black background,"Easy To Win, Easy To Play!
.
.
The Game For All Ages
.
.
📲Play & Win On The FSLGamer...🎮
.
.
sign up and get rs. 10 bonus 🤑💰
.
.
..
download the fsl gamer app now
www.fslgamer.com
.
.
This game can be habit-forming, addictive or financially risky.
You are requested to play responsibly.
.
.
.
#gaming #gamer #ps #playstation #videogames #game #xbox #games #twitch #fortnite #ludoking #memes #pcgaming #gamers #oscars #gamingcommunity #youtube #rummy #poker #chess #videogame #esports #bhfyp #ludo #cricket #cricketgame #ludocricket #cricketludo #fslgamer. Image description: a black and gold casino game with a gold button and a black background",0,0,21,0.008583061397075653,0.3072604238986969,0.6841565370559692,4.574465,4.0925264
4,2023-06-01,https://scontent.cdninstagram.com/v/t51.29350-15/350246937_154308567627635_8264872158300114001_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=cBSkaJVdkRgAX_29S47&_nc_ht=scontent.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfCGpoG0276W9hCX8gpCCR25jzrNyjox7k7C_jigs6l7Qw&oe=647E02A8,"Easy To Win, Easy To Play!
.
.
The Game For All Ages
.
.
📲Play & Win On The FSLGamer...🎮
.
.
sign up and get rs. 10 bonus 🤑💰
.
.
..
download the fsl gamer app now
www.fslgamer.com
.
.
This game can be habit-forming, addictive or financially risky.
You are requested to play responsibly.
.
.
.
#gaming #gamer #ps #playstation #videogames #game #xbox #games #twitch #fortnite #ludoking #memes #pcgaming #gamers #oscars #gamingcommunity #youtube #rummy #poker #chess #videogame #esports #bhfyp #ludo #cricket #cricketgame #ludocricket #cricketludo #fslgamer","Easy To Win, Easy To Play!
.
.
The Game For All Ages
.
.
📲Play & Win On The FSLGamer...🎮
.
.
sign up and get rs. 10 bonus 🤑💰
.
.
..
download the fsl gamer app now
www.fslgamer.com
.
.
This game can be habit-forming, addictive or financially risky.
You are requested to play responsibly.
.
.
.
#gaming #gamer #ps #playstation #videogames #game #xbox #games #twitch #fortnite #ludoking #memes #pcgaming #gamers #oscars #gamingcommunity #youtube #rummy #poker #chess #videogame #esports #bhfyp #ludo #cricket #cricketgame #ludocricket #cricketludo #fslgamer",a black and gold casino game with a gold button and a black background,"Easy To Win, Easy To Play!
.
.
The Game For All Ages
.
.
📲Play & Win On The FSLGamer...🎮
.
.
sign up and get rs. 10 bonus 🤑💰
.
.
..
download the fsl gamer app now
www.fslgamer.com
.
.
This game can be habit-forming, addictive or financially risky.
You are requested to play responsibly.
.
.
.
#gaming #gamer #ps #playstation #videogames #game #xbox #games #twitch #fortnite #ludoking #memes #pcgaming #gamers #oscars #gamingcommunity #youtube #rummy #poker #chess #videogame #esports #bhfyp #ludo #cricket #cricketgame #ludocricket #cricketludo #fslgamer. Image description: a black and gold casino game with a gold button and a black background",2,0,21,0.008583061397075653,0.3072604238986969,0.6841565370559692,4.5545306,4.112433
5,2023-06-02,https://scontent-lcy1-2.cdninstagram.com/v/t51.29350-15/351064084_1000629287954431_8392623082309045665_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=U5YCFbqgr28AX-LrtKj&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfAevZkBFoW_L--0dd2VDZ58AlFjGu7ZOvNgAHt1NPcIPQ&oe=64805CBB,"Po celoletni borbi in 8 (!!) turnirjih na koncu zasluženo tretje mesto do 9 let 🏆
#chess","Po celoletni borbi in 8 (!!) turnirjih na koncu zasluženo tretje mesto do 9 let 🏆
#chess",boy holding a trophy cup and chess board in front of a chess board,"Po celoletni borbi in 8 (!!) turnirjih na koncu zasluženo tretje mesto do 9 let 🏆
#chess. Image description: boy holding a trophy cup and chess board in front of a chess board",1,41,-1,0.025928758084774017,0.8446906805038452,0.12938052415847778,12.017441,5.5347056
6,2023-06-03,https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/351038628_273967388494973_8790214812033975355_n.webp?stp=dst-jpg&_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Jx6nUG3rWHMAX-LfCEH&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfBi9G9Y_bgotMYs6NQaSKHfmvmtPMZA4P4Ed9ikO74rGg&oe=64806057,"Here is a picture of 18 year old Botlhale Modisaotsile playing in his first chess tournament (the 2016 Gauteng North Open).

#chess #smartmove #photography #photooftheday #art #instagram #instadaily #facebook #igers #mood","Here is a picture of 18 year old Botlhale Modisaotsile playing in his first chess tournament (the 2016 Gauteng North Open).

#chess #smartmove #photography #photooftheday #art #instagram #instadaily #facebook #igers #mood",there is a young man sitting at a table with a chess board,"Here is a picture of 18 year old Botlhale Modisaotsile playing in his first chess tournament (the 2016 Gauteng North Open).

#chess #smartmove #photography #photooftheday #art #instagram #instadaily #facebook #igers #mood. Image description: there is a young man sitting at a table with a chess board",0,16,-1,0.007787808775901794,0.8450298309326172,0.14718231558799744,13.974107,5.0250535
7,2023-06-01,https://scontent.cdninstagram.com/v/t51.29350-15/350476053_174260798943811_4925734246006669415_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=BMpc-WzZbwsAX9_r0N6&_nc_ht=scontent.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfBWhbam897SrfDDJRplvGQawx4lQdlSnBWVF0HnrmgtYA&oe=647D3E13,"White to move and mate in 2 moves 
.
.
.
.
.
.
.
.
.
.
.
daily___chess

#chess #mate #mateintwo #matein2 #chessmoves #chesspuzzle","White to move and mate in 2 moves 
.
.
.
.
.
.
.
.
.
.
.
daily___chess

#chess #mate #mateintwo #matein2 #chessmoves #chesspuzzle",a close up of a chess board with chess pieces on it,"White to move and mate in 2 moves 
.
.
.
.
.
.
.
.
.
.
.
daily___chess

#chess #mate #mateintwo #matein2 #chessmoves #chesspuzzle. Image description: a close up of a chess board with chess pieces on it",0,1,0,0.012904266826808453,0.920070230960846,0.06702551990747452,9.321272,1.7728533
8,2023-06-01,https://scontent.cdninstagram.com/v/t51.29350-15/350453057_937459450706988_3518738283370853637_n.webp?stp=dst-jpg&_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=PUxkhxOyB9sAX-ZxjJz&_nc_ht=scontent.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfAdrLflrlt5rgExNX_oHPcwhgjSurK2MuYQbPbiswNw6Q&oe=647D0318,"Unlocking young minds through strategic thinking and critical skills with chess, empowering students in schools.⚡

Checkout our latest collection 🫶🏻
Visit: www.theapollosports.com

#chess #chessgame #chessboard #chessplayer #chessmaster #chessmoves #chesspuzzle #chesstournament  #vishwanathananand #chessnotcheckers #school #schoollife #indoorgames","Unlocking young minds through strategic thinking and critical skills with chess, empowering students in schools.⚡

Checkout our latest collection 🫶🏻
Visit: www.theapollosports.com

#chess #chessgame #chessboard #chessplayer #chessmaster #chessmoves #chesspuzzle #chesstournament  #vishwanathananand #chessnotcheckers #school #schoollife #indoorgames",chess pieces with the words chess white boredom empower young minds,"Unlocking young minds through strategic thinking and critical skills with chess, empowering students in schools.⚡

Checkout our latest collection 🫶🏻
Visit: www.theapollosports.com

#chess #chessgame #chessboard #chessplayer #chessmaster #chessmoves #chesspuzzle #chesstournament  #vishwanathananand #chessnotcheckers #school #schoollife #indoorgames. Image description: chess pieces with the words chess white boredom empower young minds",0,1,1,0.005345550365746021,0.28293803334236145,0.7117164134979248,11.543327,2.714259
9,2023-06-01,https://scontent.cdninstagram.com/v/t51.29350-15/350945572_291806133196147_4373946074097729996_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=lqSfu6_rlpoAX-_10T5&_nc_ht=scontent.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfBdJnWB3PAC-3aD1ASirQEdj3bheNLuJIf4Q9tf8d4Fkw&oe=647CDF14,"🎉 Achievement News 🎉

ACA is proud to announce that five of our talented students have achieved international FIDE ratings in the month of June 2023! 🌟🏆

Let's give a round of applause to our exceptional players:

👉 Nyrav Gopalakrishnan : Blitz Rating of 1246
👉 Mikalel Vivek Joseph: Blitz Rating of 1227
👉 Yashvi Shah: Blitz Rating of 1045
👉 Sajeesh Kumar: Blitz Rating of 1017
👉 Thanav Gopalakrishnan: Blitz Rating of 1094 and Rapid Rating of 1029 🌟🌟

We are incredibly proud of their dedication, hard work, and the remarkable progress they have made. These ratings reflect their exceptional skills and strategic thinking in the game of chess.

Stay tuned for more details on the achievements of our other ACA students who have seen improvements in their ratings across different formats. 🎉🏆
.
.

.
🌍www.arjunchess.com 
✉info@arjunchess.com
.
.
.
.
.
.
.
.
.
.
.
#chess #chesschallengers #chessboard #chessgame #chessclub #chessclasses #chesspuzzle #chesstournament #chessgames #bahrain #bahrain #bahraininstagram #bahrainevents #bahrainkidsactivities #kidsactivities #afterschoolprogram #afterschool #afterschoolactivities #kidsactivity #ksa🇸🇦 #saudiarabia #manama","🎉 Achievement News 🎉

ACA is proud to announce that five of our talented students have achieved international FIDE ratings in the month of June 2023! 🌟🏆

Let's give a round of applause to our exceptional players:

👉 Nyrav Gopalakrishnan : Blitz Rating of 1246
👉 Mikalel Vivek Joseph: Blitz Rating of 1227
👉 Yashvi Shah: Blitz Rating of 1045
👉 Sajeesh Kumar: Blitz Rating of 1017
👉 Thanav Gopalakrishnan: Blitz Rating of 1094 and Rapid Rating of 1029 🌟🌟

We are incredibly proud of their dedication, hard work, and the remarkable progress they have made. These ratings reflect their exceptional skills and strategic thinking in the game of chess.

Stay tuned for more details on the achievements of our other ACA students who have seen improvements in their ratings across different formats. 🎉🏆
.
.

.
🌍www.arjunchess.com 
✉info@arjunchess.com
.
.
.
.
.
.
.
.
.
.
.
#chess #chesschallengers #chessboard #chessgame #chessclub #chessclasses #chesspuzzle #chesstournament #chessgames #bahrain #bahrain #bahraininstagram #bahrainevents #bahrainkidsactivities #kidsactivities #afterschoolprogram #afterschool #afterschoolactivities #kidsactivity #ksa🇸🇦 #saudiarabia #manama",several children playing chess in a classroom with a teacher,"🎉 Achievement News 🎉

ACA is proud to announce that five of our talented students have achieved international FIDE ratings in the month of June 2023! 🌟🏆

Let's give a round of applause to our exceptional players:

👉 Nyrav Gopalakrishnan : Blitz Rating of 1246
👉 Mikalel Vivek Joseph: Blitz Rating of 1227
👉 Yashvi Shah: Blitz Rating of 1045
👉 Sajeesh Kumar: Blitz Rating of 1017
👉 Thanav Gopalakrishnan: Blitz Rating of 1094 and Rapid Rating of 1029 🌟🌟

We are incredibly proud of their dedication, hard work, and the remarkable progress they have made. These ratings reflect their exceptional skills and strategic thinking in the game of chess.

Stay tuned for more details on the achievements of our other ACA students who have seen improvements in their ratings across different formats. 🎉🏆
.
.

.
🌍www.arjunchess.com 
✉info@arjunchess.com
.
.
.
.
.
.
.
.
.
.
.
#chess #chesschallengers #chessboard #chessgame #chessclub #chessclasses #chesspuzzle #chesstournament #chessgames #bahrain #bahrain #bahraininstagram #bahrainevents #bahrainkidsactivities #kidsactivities #afterschoolprogram #afterschool #afterschoolactivities #kidsactivity #ksa🇸🇦 #saudiarabia #manama. Image description: several children playing chess in a classroom with a teacher",0,4,-1,0.003592148656025529,0.0359356552362442,0.9604722261428833,11.777029,4.3290324
