Topic,Words,Frequency,Timestamp
-1,"می, ها, نابغه, را, کند",3,2023-05-31
0,"f1, alonso, de, formula1, race",67,2023-05-31
-1,"chess, the, image, description, of",191,2023-06-01
0,"alonso, f1, formula1, race, ferrari",105,2023-06-01
1,"chess, board, vous, pieces, it",40,2023-06-01
2,"for, chess, to, and, poster",25,2023-06-01
3,"de, en, ajedrez, para, el",30,2023-06-01
4,"chessmemes, follow, chess, chessboard, memes",20,2023-06-01
5,"chess, au, table, description, sitting",14,2023-06-01
6,"chess, of, set, pieces, and",21,2023-06-01
7,"на, шахматы, шахматист, chess, of",19,2023-06-01
8,"quote, you, chess, it, on",14,2023-06-01
9,"drawing, painting, 100, illustration, chess",18,2023-06-01
10,"man, standing, there, is, in",12,2023-06-01
11,"chess, table, playing, sitting, boy",10,2023-06-01
12,"chess, geneva, on, description, image",10,2023-06-01
13,"satranç, və, ve, bu, satranc",12,2023-06-01
14,"and, the, guitarfreiman, chesshistory, chess",8,2023-06-01
15,"your, the, cheating, chess, to",8,2023-06-01
16,"food, combo, vegetables, foodstagram, foodie",7,2023-06-01
17,"patreon, beautiful, fashion, woman, zarashah05",4,2023-06-01
18,"aiart, aiartcommunity, chess, aiartworks, aiartwork",4,2023-06-01
19,"laptops, hoffcc, keyboard, desk, break",1,2023-06-01
-1,"chess, the, of, description, image",164,2023-06-02
0,"alonso, f1, formula1, ferrari, the",164,2023-06-02
1,"chess, board, pieces, it, puzzle",36,2023-06-02
2,"chess, for, the, and, to",32,2023-06-02
3,"de, ajedrez, en, xadrez, la",22,2023-06-02
4,"chessmemes, follow, chessplz, chessisgod, cartoon",18,2023-06-02
5,"fide, chess, playing, chessgirl, silachess",25,2023-06-02
6,"chess, of, on, pieces, set",18,2023-06-02
7,"pisa, maths, is, to, in",16,2023-06-02
8,"quote, you, your, chess, mansoyz_original",15,2023-06-02
9,"drawing, of, chess, painting, digitalart",12,2023-06-02
10,"man, is, description, image, there",15,2023-06-02
11,"chess, when, two, table, playing",9,2023-06-02
12,"chess, filmphotography, on, view, city",9,2023-06-02
13,"satranç, və, üçün, yay, məlumat",7,2023-06-02
14,"and, people, the, some, new",7,2023-06-02
15,"chess, the, with, playchess, chesscrestacademy",6,2023-06-02
16,"food, vegetables, کار, تخته_نرد, shrimp",4,2023-06-02
17,"zarashah05, shoot, course, details, dress",9,2023-06-02
18,"chess, aiart, pieces, ai, aigenerated",7,2023-06-02
19,"elo, system, the, rating, skill",5,2023-06-02
-1,"chess, image, description, le, of",20,2023-06-03
0,"alonso, f1, of, fa, verstappen",5,2023-06-03
1,"chess, vous, pieces, board, puzzle",9,2023-06-03
2,"chess, for, quiz, poster, with",8,2023-06-03
3,"de, en, ajedrez, dilson, el",3,2023-06-03
4,"chessmemes, chessplz, chess, chesstactics, cartoon",6,2023-06-03
5,"miejsce, boys, thanks, at, chess",4,2023-06-03
6,"cupcakes, foodart, goodfood, weekendvibes, sandwiches",1,2023-06-03
7,"satranç, müzesi, gökyay, ankaramüzeleri, vakfı",2,2023-06-03
8,"quote, chessplayersquotes, chessbase, it, on",4,2023-06-03
9,"drawing, chessdrawing, foreshortening, sanrio, inkillustration",2,2023-06-03
10,"you, that, critical, not, your",1,2023-06-03
11,"lies, sitting, is, magnificent, chessphotos",2,2023-06-03
12,"gra, kadr, toczy, cracow, atamanlenswork",2,2023-06-03
14,"and, people, some, new, ways",3,2023-06-03
15,"chessmove, chesscrestacademy, bestmove, bestmoves, dailychesspuzzle",1,2023-06-03
16,"薔薇の日, glass, 魔弾, アロンソは, お守り",2,2023-06-03
18,"kobayashimaru, startrektos, scenario, 3dchess, jameskirk",1,2023-06-03
19,"chess, the, and, board, to",5,2023-06-03
